date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:27:12	41095/41095	---M-Z	200	added ('OK')	application/javascript	etag:%22a087-5bb3f7c709c2c-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.form.js	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/js/jquery.form.js	(from https://preview.colorlib.com/theme/capitalshop/index.html)
01:27:13	21068/21068	---M-Z	200	added ('OK')	application/javascript	etag:%22524c-5bb3f7bf8ebdd-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.validate.min.js	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/js/jquery.validate.min.js	(from https://preview.colorlib.com/theme/capitalshop/index.html)
01:27:13	1230/1230	---M-Z	200	added ('OK')	application/javascript	etag:%224ce-5bb3f7bf90b1d-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/mail-script.js	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/js/mail-script.js	(from https://preview.colorlib.com/theme/capitalshop/index.html)
01:27:13	4820/4820	---M-Z	200	added ('OK')	application/javascript	etag:%2212d4-5bb3f7c527581-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/jquery.ajaxchimp.min.js	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/js/jquery.ajaxchimp.min.js	(from https://preview.colorlib.com/theme/capitalshop/index.html)
01:27:14	760/760	---M-Z	200	added ('OK')	application/javascript	etag:%222f8-5bb3f7c14b12a-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/plugins.js	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/js/plugins.js	(from https://preview.colorlib.com/theme/capitalshop/index.html)
01:27:14	9424/9424	---M-Z	200	added ('OK')	application/javascript	etag:%2224d0-5bb3f7c3f0cce-gzip%22	https://preview.colorlib.com/theme/capitalshop/assets/js/main.js	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/js/main.js	(from https://preview.colorlib.com/theme/capitalshop/index.html)
01:27:14	2426/2426	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2297a-5bb3f7dbca34d%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.eot	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.eot	(from https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css)
01:27:14	2426/2426	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2297a-5bb3f7dbca34d%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.eot?	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticond41d.eot	(from https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css)
01:27:15	1156/1156	---M--	200	added ('OK')	font/woff2	etag:%22484-5bb3f7ebde600%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.woff2	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.woff2	(from https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css)
01:27:15	1636/1636	---M--	200	added ('OK')	font/woff	etag:%22664-5bb3f7da9c73a%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.woff	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.woff	(from https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css)
01:27:15	2248/2248	---MCZ	200	added ('OK')	font/ttf	etag:W/%228c8-5bb3f7df66066%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.ttf	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.ttf	(from https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css)
01:27:15	6082/6082	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2217c2-5bb3f7ecc7c56%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.svg	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/Flaticon.svg	(from https://preview.colorlib.com/theme/capitalshop/assets/css/flaticon.css)
01:27:16	134622/134622	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220dde-5bb3f7e2167e9%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.eot	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.eot	(from https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css)
01:27:16	134622/134622	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220dde-5bb3f7e2167e9%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.eot?	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400d41d.eot	(from https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css)
01:27:17	90672/90672	---M--	200	added ('OK')	font/woff	etag:%2216230-5bb3f7e9f32b5%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.woff	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.woff	(from https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css)
01:27:18	77400/77400	---M--	200	added ('OK')	font/woff2	etag:%2212e58-5bb3f7e9c63f6%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.woff2	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.woff2	(from https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css)
01:27:19	134316/134316	---MCZ	200	added ('OK')	font/ttf	etag:W/%2220cac-5bb3f7eae848a%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.ttf	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/fa-brands-400.ttf	(from https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css)
01:27:20	34350/34350	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22862e-5bb3f7ecc6cb6%22	https://preview.colorlib.com/theme/capitalshop/assets/fonts/fa-regular-400.eot?	C:/Mes%20Sites%20Web/site%20ecoomerce/preview.colorlib.com/theme/capitalshop/assets/fonts/fa-regular-400d41d.eot	(from https://preview.colorlib.com/theme/capitalshop/assets/css/fontawesome-all.min.css)
